,nitrogen_kg_per_ha_SE,phosphate_kg_per_ha_SE,potassium_kg_per_ha_SE,herbicide_kg_per_ha_SE,diesel_planting_L_per_ha_SE,lubricants_planting_L_per_ha_SE,electric_planting_MJ_per_ha_SE,diesel_harvesting_L_per_ha_ME_SE,gasoline_harvesting_L_per_ha_ME_SE,lubricants_harvesting_L_per_ha_ME_SE,harvesting_equipment_harvesting_kg_per_ha_ME_SE,diesel_harvesting_L_per_ha_MA_SE,gasoline_harvesting_L_per_ha_MA_SE,lubricants_harvesting_L_per_ha_MA_SE,harvesting_equipment_harvesting_kg_per_ha_MA_SE,diesel_hauling_L_per_ha_SE,hauling_km_SE,lubricants_hauling_L_per_ha_SE,yield_m3_dry_log_per_ha_NA_SE,yield_residue_percent_of_drylog
0,,,,,87.974,31.08817838,,1391.7544527,879.17182297,276.34970541,92.25,1985.8272027,270.0,217.24493514,54.0,5924.438783783784,,106.57474324324325,74.1,0.14979477303988997
1,,,,,93.988,35.36978378,,1021.81443784,675.05093919,464.36802973,92.25,1557.66666216,225.0,290.12530541,54.0,,,,74.1,0.25177304964539005
2,,,,,134.678,12.98443378,,2548.95139189,202.5,357.42097297,92.25,1985.8272027,225.0,242.00378378,54.0,,,,116.85,0.197
3,,,,,,25.96886757,,1828.66436081,180.0,90.0,,3061.16170811,112.5,,,,,,109.44,0.154
4,,,,,,13.68252162,,1462.44748108,157.5,90.0,,1986.292594594595,90.0,,,,,,123.68999999999998,0.139
5,,,,,,35.36978378,,2122.23356622,,67.5,,1035.0,90.0,,,,,,135.66,0.136
6,,,,,,34.90439189189188,,3849.76504054054,,,,900.0,,,,,,,147.63,0.132
7,,,,,,35.36978378,,2281.02527973,,,,855.0,,,,,,,185.24999999999997,0.137
8,,,,,,34.90439189189188,,3661.23801351,,,,,,,,,,,222.86999999999998,0.132
9,,,,,,,,1986.292594594595,,,,,,,,,,,224.57999999999998,0.128
10,,,,,,,,1305.0,,,,,,,,,,,251.36999999999998,0.124
11,,,,,,,,1170.0,,,,,,,,,,,277.02,0.118
12,,,,,,,,990.0,,,,,,,,,,,278.72999999999996,0.154
13,,,,,,,,,,,,,,,,,,,279.86999999999995,0.14
14,,,,,,,,,,,,,,,,,,,296.4,0.103
15,,,,,,,,,,,,,,,,,,,326.03999999999996,0.134
16,,,,,,,,,,,,,,,,,,,327.17999999999995,
17,,,,,,,,,,,,,,,,,,,328.32,
18,,,,,,,,,,,,,,,,,,,330.03,
19,,,,,,,,,,,,,,,,,,,349.40999999999997,
20,,,,,,,,,,,,,,,,,,,393.29999999999995,
21,,,,,,,,,,,,,,,,,,,393.86999999999995,
22,,,,,,,,,,,,,,,,,,,424.65,
23,,,,,,,,,,,,,,,,,,,133.38,
24,,,,,,,,,,,,,,,,,,,141.35999999999999,
25,,,,,,,,,,,,,,,,,,,164.73,
26,,,,,,,,,,,,,,,,,,,171.57,
27,,,,,,,,,,,,,,,,,,,184.10999999999999,
28,,,,,,,,,,,,,,,,,,,190.95,
29,,,,,,,,,,,,,,,,,,,192.66,
30,,,,,,,,,,,,,,,,,,,214.32,
31,,,,,,,,,,,,,,,,,,,155.04,
32,,,,,,,,,,,,,,,,,,,170.42999999999998,
33,,,,,,,,,,,,,,,,,,,182.96999999999997,
34,,,,,,,,,,,,,,,,,,,185.82,
35,,,,,,,,,,,,,,,,,,,194.36999999999998,
36,,,,,,,,,,,,,,,,,,,194.93999999999997,
37,,,,,,,,,,,,,,,,,,,201.77999999999997,
38,,,,,,,,,,,,,,,,,,,237.68999999999997,
39,,,,,,,,,,,,,,,,,,,242.24999999999997,
40,,,,,,,,,,,,,,,,,,,247.37999999999997,
41,,,,,,,,,,,,,,,,,,,261.06,
42,,,,,,,,,,,,,,,,,,,291.84,
43,,,,,,,,,,,,,,,,,,,296.4,
44,,,,,,,,,,,,,,,,,,,299.82,
45,,,,,,,,,,,,,,,,,,,319.2,
46,,,,,,,,,,,,,,,,,,,345.41999999999996,
47,,,,,,,,,,,,,,,,,,,353.4,
48,,,,,,,,,,,,,,,,,,,355.10999999999996,
49,,,,,,,,,,,,,,,,,,,365.36999999999995,
50,,,,,,,,,,,,,,,,,,,413.24999999999994,
51,,,,,,,,,,,,,,,,,,,417.23999999999995,
52,,,,,,,,,,,,,,,,,,,425.78999999999996,
53,,,,,,,,,,,,,,,,,,,435.47999999999996,
54,,,,,,,,,,,,,,,,,,,186.39,
55,,,,,,,,,,,,,,,,,,,186.95999999999998,
56,,,,,,,,,,,,,,,,,,,189.23999999999998,
57,,,,,,,,,,,,,,,,,,,190.38,
58,,,,,,,,,,,,,,,,,,,204.63,
59,,,,,,,,,,,,,,,,,,,231.98999999999998,
60,,,,,,,,,,,,,,,,,,,239.39999999999998,
61,,,,,,,,,,,,,,,,,,,253.64999999999998,
62,,,,,,,,,,,,,,,,,,,283.28999999999996,
63,,,,,,,,,,,,,,,,,,,285.57,
64,,,,,,,,,,,,,,,,,,,288.41999999999996,
65,,,,,,,,,,,,,,,,,,,308.36999999999995,
66,,,,,,,,,,,,,,,,,,,339.71999999999997,
67,,,,,,,,,,,,,,,,,,,353.96999999999997,
68,,,,,,,,,,,,,,,,,,,355.10999999999996,
69,,,,,,,,,,,,,,,,,,,363.65999999999997,
70,,,,,,,,,,,,,,,,,,,420.65999999999997,
71,,,,,,,,,,,,,,,,,,,425.21999999999997,
72,,,,,,,,,,,,,,,,,,,429.78,
73,,,,,,,,,,,,,,,,,,,438.33,
