,lumber_hardwood_data,lumber_hardwood_mass_req,lumber_hardwood_green_wood_mass_req,hardwood_vol_req,hardwood_loss_efficiency,hardwood_green_to_mass_prop,lumber_hardwood_sources,source,tree_type,study_area
0,580,745.0,1.29,1.2844827586206897,0.7785234899328859,0.5775193798449613,Harwood_lumber_1 (Red Oak) (SE),Harwood_lumber_1,(Red Oak),(SE)
1,598,763.0,1.29,1.2759197324414715,0.7837483617300132,0.5914728682170542,Harwood_lumber_1 (White Oak) (SE),Harwood_lumber_1,(White Oak),(SE)
2,374,539.0,1.29,1.4411764705882353,0.6938775510204082,0.4178294573643411,Harwood_lumber_1 (Poplar) (SE),Harwood_lumber_1,(Poplar),(SE)
3,580,681.0,1.353,1.1741379310344828,0.8516886930983847,0.5033259423503326,Harwood_lumber_2 (Red Oak) (SE),Harwood_lumber_2,(Red Oak),(SE)
4,598,699.0,1.353,1.1688963210702341,0.8555078683834049,0.516629711751663,Harwood_lumber_2 (White Oak) (SE),Harwood_lumber_2,(White Oak),(SE)
5,374,475.0,1.353,1.2700534759358288,0.7873684210526316,0.35107169253510717,Harwood_lumber_2 (Poplar) (SE),Harwood_lumber_2,(Poplar),(SE)
6,535,684.0,1.17,1.2785046728971963,0.7821637426900585,0.5846153846153846,Harwood_lumber_3 (Oak Mix - Poplar) (NE),Harwood_lumber_3,(Oak Mix - Poplar),(NE)
7,571,720.0,1.17,1.2609457092819614,0.7930555555555556,0.6153846153846154,Harwood_lumber_4 (Red Oak) (SE),Harwood_lumber_4,(Red Oak),(SE)
8,535,684.0,1.17,1.2785046728971963,0.7821637426900585,0.5846153846153846,Harwood_lumber_4 (White Oak) (SE),Harwood_lumber_4,(White Oak),(SE)
9,374,523.0,1.17,1.3983957219251337,0.7151051625239006,0.44700854700854703,Harwood_lumber_4 (Poplar) (SE),Harwood_lumber_4,(Poplar),(SE)
10,573,714.64,1.165,1.2471902268760908,0.8018023060561961,0.6134248927038627,Harwood_lumber_5 (Oak Mix - Poplar) (NE),Harwood_lumber_5,(Oak Mix - Poplar),(NE)
11,530,641.9,1.337,1.211132075471698,0.8256737809627668,0.4801047120418848,Harwood_lumber_6 (Birch) (CAN),Harwood_lumber_6,(Birch),(CAN)
12,594,705.9,1.337,1.1883838383838383,0.8414789630259244,0.5279730740463725,Harwood_lumber_6 (Maple) (CAN),Harwood_lumber_6,(Maple),(CAN)
13,421,532.9,1.337,1.2657957244655582,0.7900168887220866,0.3985789080029918,Harwood_lumber_6 (Aspen) (CAN),Harwood_lumber_6,(Aspen),(CAN)
