,production_emissions,sources,Type,source,tree_type,study_area
0,184.0,LVL_properties_5 (Lolloby Pine - Slash Pine) (SE),LVL,LVL_properties_5,(Lolloby Pine - Slash Pine),(SE)
1,116.0,LVL_properties_5 (Douglas-Fir) (PNW),LVL,LVL_properties_5,(Douglas-Fir),(PNW)
2,116.0,LVL_properties_6 (Douglas-Fir) (PNW),LVL,LVL_properties_6,(Douglas-Fir),(PNW)
3,116.0,LVL_properties_7 (Douglas-Fir) (PNW),LVL,LVL_properties_7,(Douglas-Fir),(PNW)
4,107.76,LVL_properties_8 (Lolloby Pine - Slash Pine) (SE),LVL,LVL_properties_8,(Lolloby Pine - Slash Pine),(SE)
5,184.0,LVL_properties_9 (Lolloby Pine - Slash Pine) (SE),LVL,LVL_properties_9,(Lolloby Pine - Slash Pine),(SE)
6,184.0,LVL_properties_10 (Southern Pine) (SE),LVL,LVL_properties_10,(Southern Pine),(SE)
7,42.71,CLT_properties_1 (Douglas-Fir - Western Hemlock) (PWN),CLT,CLT_properties_1,(Douglas-Fir - Western Hemlock),(PWN)
8,42.71,CLT_properties_2 (Douglas-Fir - Western Hemlock) (PNW),CLT,CLT_properties_2,(Douglas-Fir - Western Hemlock),(PNW)
9,27.87,CLT_properties_8 (Spruce-Pine-Fir) (CAN),CLT,CLT_properties_8,(Spruce-Pine-Fir),(CAN)
10,47.26,Glulam_properties_2 (Douglas-Fir) (PWN),GLU,Glulam_properties_2,(Douglas-Fir),(PWN)
11,31.75,Glulam_properties_3 (Douglas-Fir) (PWN),GLU,Glulam_properties_3,(Douglas-Fir),(PWN)
12,47.26,Glulam_properties_5 (Douglas-Fir - Hem-Fir) (PWN),GLU,Glulam_properties_5,(Douglas-Fir - Hem-Fir),(PWN)
13,53.24,Glulam_properties_5 (Southern-Pine) (SE),GLU,Glulam_properties_5,(Southern-Pine),(SE)
