,elec_kwh_m3,elec_kwh_m3_drying,diesel_kg_m3,diesel_kg_m3_drying,gasoline_kg_m3,propane_gal_m3,ng_kg_m3_drying,biomass_kg_m3_drying,sources,source,tree_type,study_area
0,58.76194525962748,27.784598152362697,1.011556594904251,0.6278544189110703,0.07247748642924423,9.10418448260232e-05,23.201346620729222,145.18041874253973,Softwood_Lumber_Properties_2 (Douglas Fir) (PNW),Softwood_Lumber_Properties_2,(Douglas Fir),(PNW)
0,72.15069737858343,34.064225160147195,1.2801226236775904,0.1459201688796194,0.09375441411525642,0.00011782389977390836,0.0,158.81997751124436,Softwood_Lumber_Properties_3 (-) (West),Softwood_Lumber_Properties_3,(-),(West)
0,56.14927250741146,37.20328332228117,1.0893059632711268,0.12244772068348654,0.09393688208343383,0.0,0.0,219.4359582228117,Softwood_Lumber_Properties_3 (-) (South),Softwood_Lumber_Properties_3,(-),(South)
0,78.93417336,28.25,1.292676246784,0.24127999999999997,0.09344637512000001,0.0001277690304,15.880000000000003,76.55,Softwood_Lumber_Properties_4 (78% Hemlock - 22% Douglas Fir) (PNW),Softwood_Lumber_Properties_4,(78% Hemlock - 22% Douglas Fir),(PNW)
0,47.63066954,11.5,0.61272179904,0.11648,0.0146414030053,0.0035730348244800004,2.08,165.65,Softwood_Lumber_Properties_5 (Douglas Fir) (PNW),Softwood_Lumber_Properties_5,(Douglas Fir),(PNW)
0,46.8120971,11.5,0.6066644896,0.11648,0.022908440824999998,0.00954074088,2.08,165.65,Softwood_Lumber_Properties_6 (-) (PNW),Softwood_Lumber_Properties_6,(-),(PNW)
0,49.726877200000004,8.5,0.5076260134399999,0.17472,0.17881984382,0.018992355888000002,0.0,99.7,Softwood_Lumber_Properties_6 (-) (SE),Softwood_Lumber_Properties_6,(-),(SE)
0,24.904777225,11.5,0.6066644896,0.11648,0.022908440824999998,0.00954074088,2.08,165.65,Softwood_Lumber_Properties_7 (Douglas Fir and Hemlock) (PNW),Softwood_Lumber_Properties_7,(Douglas Fir and Hemlock),(PNW)
0,45.86150088654958,20.146585562505237,0.8444839206758102,0.09390389273350784,0.07241014174322175,8.98092249525045e-05,0.0,267.92435969886213,Softwood_Lumber_Properties_8 (Slash Pine) (SE),Softwood_Lumber_Properties_8,(Slash Pine),(SE)
0,56.365684259999995,18.55,0.7887547486208,0.0832,0.08539597179749998,9.478671840000001e-05,0.0,169.93,Softwood_Lumber_Properties_9 (-) (SE),Softwood_Lumber_Properties_9,(-),(SE)
0,57.1606112,8.5,0.5059993702399999,0.17472,0.17293614672000002,0.0125615749248,0.0,158.45000000000002,Softwood_Lumber_Properties_10 (Southern Pine) (SE),Softwood_Lumber_Properties_10,(Southern Pine),(SE)
0,57.1606112,8.5,0.5059993702399999,0.17472,0.17293614672000002,0.0125615749248,0.0,158.45000000000002,Softwood_Lumber_Properties_11 (Southern Pine) (SE),Softwood_Lumber_Properties_11,(Southern Pine),(SE)
0,74.794325,10.15,0.5843068608,0.00380224,0.3448901659,0.014262410981280001,5.336,162.88,Softwood_Lumber_Properties_12 (Southern Pine) (SE),Softwood_Lumber_Properties_12,(Southern Pine),(SE)
