panel,switch_year,stat,value,units
S1,2025,median,5.8203959465026855,Gt
S1,2025,p05,4.9148478507995605,Gt
S1,2025,p95,6.877676486968994,Gt
S1,2050,median,5.703564643859863,Gt
S1,2050,p05,4.8152947425842285,Gt
S1,2050,p95,6.741223335266113,Gt
S1,2075,median,4.9916839599609375,Gt
S1,2075,p05,4.212985038757324,Gt
S1,2075,p95,5.911499500274658,Gt
S1,2100,median,4.494114875793457,Gt
S1,2100,p05,3.8158187866210938,Gt
S1,2100,p95,5.279062747955322,Gt
S2,2025,median,5.709626197814941,Gt
S2,2025,p05,4.823838233947754,Gt
S2,2025,p95,6.783209800720215,Gt
S2,2050,median,5.659600257873535,Gt
S2,2050,p05,4.787117958068848,Gt
S2,2050,p95,6.7168354988098145,Gt
S2,2075,median,5.46951961517334,Gt
S2,2075,p05,4.640613555908203,Gt
S2,2075,p95,6.469486236572266,Gt
S2,2100,median,4.956708908081055,Gt
S2,2100,p05,4.230228424072266,Gt
S2,2100,p95,5.821789741516113,Gt
S3,2025,median,6.540609359741211,Gt
S3,2025,p05,5.526400566101074,Gt
S3,2025,p95,7.765312194824219,Gt
S3,2050,median,6.080559253692627,Gt
S3,2050,p05,5.125469207763672,Gt
S3,2050,p95,7.223045825958252,Gt
S3,2075,median,5.277525424957275,Gt
S3,2075,p05,4.441043853759766,Gt
S3,2075,p95,6.275904655456543,Gt
S3,2100,median,4.766556739807129,Gt
S3,2100,p05,4.039128303527832,Gt
S3,2100,p95,5.620812892913818,Gt
