panel,switch_year,stat,value,units
S1,2025,median,4.000365257263184,Gt
S1,2025,p05,3.382506847381592,Gt
S1,2025,p95,4.729888439178467,Gt
S1,2050,median,3.8826675415039062,Gt
S1,2050,p05,3.281306743621826,Gt
S1,2050,p95,4.589908599853516,Gt
S1,2075,median,3.173722743988037,Gt
S1,2075,p05,2.6778268814086914,Gt
S1,2075,p95,3.754864454269409,Gt
S1,2100,median,2.6759839057922363,Gt
S1,2100,p05,2.2806496620178223,Gt
S1,2100,p95,3.1294302940368652,Gt
S3,2025,median,4.573637962341309,Gt
S3,2025,p05,3.870624303817749,Gt
S3,2025,p95,5.418685436248779,Gt
S3,2050,median,4.111990451812744,Gt
S3,2050,p05,3.472198724746704,Gt
S3,2050,p95,4.879030704498291,Gt
S3,2075,median,3.3126471042633057,Gt
S3,2075,p05,2.786489963531494,Gt
S3,2075,p95,3.9398770332336426,Gt
S3,2100,median,2.8024067878723145,Gt
S3,2100,p05,2.381676197052002,Gt
S3,2100,p95,3.2875077724456787,Gt
